Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-10-10,GOOGL,161.8944549560547,162.0800018310547,163.07000732421875,160.39999389648438,160.8699951171875,14144100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-11,GOOGL,163.05313110351562,163.24000549316406,163.89999389648438,161.24000549316406,162.1300048828125,15344300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-14,GOOGL,164.7711639404297,164.9600067138672,166.22999572753906,163.39999389648438,163.63999938964844,19016100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-15,GOOGL,165.27059936523438,165.4600067138672,167.67999267578125,164.6300048828125,165.7899932861328,20247200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-16,GOOGL,164.97093200683594,165.16000366210938,165.8000030517578,163.74000549316406,164.52999877929688,16406000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-17,GOOGL,162.74346923828125,162.92999267578125,166.3699951171875,162.75999450683594,165.72999572753906,21453400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-18,GOOGL,163.23292541503906,163.4199981689453,164.7100067138672,163.0800018310547,163.19000244140625,19757700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-21,GOOGL,163.88218688964844,164.07000732421875,164.5,162.6199951171875,162.9499969482422,20946500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-22,GOOGL,164.95095825195312,165.13999938964844,165.77000427246094,162.97999572753906,162.97999572753906,16568100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-23,GOOGL,162.59365844726562,162.77999877929688,165.82000732421875,161.92999267578125,164.75999450683594,18280500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-24,GOOGL,162.53372192382812,162.72000122070312,163.3300018310547,161.00999450683594,162.8300018310547,22412500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-25,GOOGL,165.080810546875,165.27000427246094,165.58999633789062,163.4199981689453,163.6699981689453,19828900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-28,GOOGL,166.52914428710938,166.72000122070312,168.75,163.9499969482422,168.75,32138600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-29,GOOGL,169.48574829101562,169.67999267578125,170.3800048828125,167.08999633789062,167.72999572753906,42169000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-30,GOOGL,174.26028442382812,174.4600067138672,182.0200042724609,174.05999755859375,180.67999267578125,68890800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-10-31,GOOGL,170.91412353515625,171.11000061035156,176.82000732421875,171.0,173.1300048828125,44769000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-11-01,GOOGL,171.09390258789062,171.2899932861328,172.32000732421875,168.8800048828125,170.07000732421875,31796500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
